ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688008.SH,20260420,153.2,156.97,152.25,154.66,150.78,3.88,2.5733,432313.91,6681984.367
688008.SH,20260421,154.69,159.63,149.66,158.4,154.66,3.74,2.4182,452160.78,7056650.218
688008.SH,20260422,158.41,164.25,157.29,163.35,158.4,4.95,3.125,581695.2,9344823.543
688008.SH,20260423,166.65,168.88,158.15,159.7,163.35,-3.65,-2.2345,621429.69,10151119.437
688008.SH,20260424,167.0,172.0,161.4,163.5,159.7,3.8,2.3795,621121.76,10258761.896
688008.SH,20260427,174.77,180.6,171.07,178.09,163.5,14.59,8.9235,825574.42,14577855.792
688008.SH,20260428,172.7,177.37,170.02,173.61,178.09,-4.48,-2.5156,694862.73,12058490.133
688008.SH,20260429,171.0,171.95,165.35,169.9,173.61,-3.71,-2.137,517496.5,8740377.398
688008.SH,20260430,174.28,175.14,169.53,173.3,169.9,3.4,2.0012,591287.93,10225515.353
688008.SH,20260506,190.3,205.57,188.01,198.98,173.3,25.68,14.8182,1100589.76,21918317.974
688008.SH,20260507,201.99,213.0,200.0,209.91,198.98,10.93,5.493,885443.27,18259174.456
688008.SH,20260508,205.0,212.19,203.68,210.27,209.91,0.36,0.1715,623845.07,13002789.032
688008.SH,20260511,231.26,252.32,230.0,249.22,210.27,38.95,18.5238,1102142.05,26886059.943
688008.SH,20260512,240.85,245.74,231.08,240.7,249.22,-8.52,-3.4187,974189.0,23246871.32
688008.SH,20260513,233.0,258.8,233.0,258.8,240.7,18.1,7.5197,848754.03,20825582.487
688008.SH,20260514,280.0,282.0,262.97,265.08,258.8,6.28,2.4266,1076688.65,29317281.285
688008.SH,20260515,265.0,272.0,242.63,247.98,265.08,-17.1,-6.4509,1145286.75,29165161.028
688008.SH,20260518,247.2,258.88,243.55,247.99,247.98,0.01,0.004,789791.1,19844303.606
688008.SH,20260519,239.05,249.6,233.08,247.11,247.99,-0.88,-0.3549,690322.32,16641271.556
688008.SH,20260520,247.12,261.98,247.11,257.3,247.11,10.19,4.1237,747901.77,19129283.434
688008.SH,20260521,274.8,287.34,261.0,262.17,257.3,4.87,1.8927,1120043.67,30655307.067
688008.SH,20260522,272.88,276.74,262.01,271.83,262.17,9.66,3.6846,785466.03,21210617.605
688008.SH,20260525,267.0,285.68,262.5,284.08,271.83,12.25,4.5065,894252.1,24433132.286
688008.SH,20260526,286.0,286.0,265.55,272.29,284.08,-11.79,-4.1502,789222.72,21495664.613
688008.SH,20260527,284.99,288.79,263.88,265.5,272.29,-6.79,-2.4937,766214.3,21249972.465
688008.SH,20260528,260.0,263.85,253.23,260.98,265.5,-4.52,-1.7024,624090.77,16126791.592
688008.SH,20260529,265.3,272.0,248.8,253.0,260.98,-7.98,-3.0577,730562.03,18926622.143
688008.SH,20260601,250.88,252.8,232.12,232.3,253.0,-20.7,-8.1818,719862.74,17309417.346
688008.SH,20260602,236.04,242.3,224.95,237.0,232.3,4.7,2.0232,666310.87,15623059.971
688008.SH,20260603,248.25,265.11,245.11,253.9,237.0,16.9,7.1308,913173.85,23401315.656
688008.SH,20260604,248.5,265.0,248.01,259.67,253.9,5.77,2.2725,650951.0,16975622.033
688008.SH,20260605,249.98,254.56,237.61,239.39,259.67,-20.28,-7.8099,692407.58,17072494.074
688008.SH,20260608,221.0,232.19,221.0,224.31,239.39,-15.08,-6.2993,609372.92,13831005.9
688008.SH,20260609,233.58,239.16,228.85,236.4,224.31,12.09,5.3899,528244.28,12350581.487
688008.SH,20260610,233.16,239.56,228.6,231.0,236.4,-5.4,-2.2843,429641.62,10025176.119
688008.SH,20260611,231.0,234.63,224.72,228.7,231.0,-2.3,-0.9957,429837.18,9858025.357
688008.SH,20260612,243.99,245.0,223.7,224.88,228.7,-3.82,-1.6703,637454.14,14891803.524
688008.SH,20260615,230.22,240.18,223.33,240.1,224.88,15.22,6.7681,537361.69,12571796.508
688008.SH,20260616,243.21,247.16,238.71,244.17,240.1,4.07,1.6951,538361.74,13097791.05
688008.SH,20260617,238.87,262.65,238.09,262.5,244.17,18.33,7.5071,741506.7,18771027.097
688008.SH,20260618,260.0,275.28,258.01,269.9,262.5,7.4,2.819,815716.99,21797711.131
688008.SH,20260622,276.0,285.0,269.0,280.05,269.9,10.15,3.7607,795528.29,22143863.153
688008.SH,20260623,275.01,278.0,255.55,258.0,280.05,-22.05,-7.8736,774899.04,20536285.888
688008.SH,20260624,256.0,266.5,253.66,266.49,258.0,8.49,3.2907,635914.65,16616342.485
688008.SH,20260625,277.5,284.99,268.0,279.16,266.49,12.67,4.7544,913012.16,25353678.687
688008.SH,20260626,272.51,276.97,257.02,261.82,279.16,-17.34,-6.2115,755001.92,20074810.816
688008.SH,20260629,262.0,296.66,262.0,296.06,261.82,34.24,13.0777,1067262.92,30294267.139
